Rider_ID,Rider_Name,Gender,Age,Experience_Years,Vehicle_Type,Average_Speed_kmph,Reliability,Courtesy_Score,Home_Store,Hidden_Slow_Rider,Hidden_Star_Rider
R00329,Manoj,Male,36,6,Electric Scooter,29.9,0.857,4.29,DS13,False,False
R00330,Sandeep,Male,40,0,Scooter,28.4,0.91,3.41,DS21,False,False
R00331,Rakesh,Male,40,8,Bicycle,13.2,0.92,4.07,DS15,False,False
R00332,Vikas,Male,26,8,Bicycle,15.2,0.99,3.85,DS05,False,False
R00333,Nitin,Male,39,5,Scooter,24.7,0.947,4.17,DS23,False,False
R00334,Sandeep,Male,35,7,Bicycle,20.4,0.947,3.67,DS19,False,False
R00335,Deepak,Male,39,5,Bicycle,12.0,0.95,3.78,DS01,False,False
R00336,Pankaj,Male,26,0,Scooter,27.4,0.838,4.28,DS17,False,False
R00337,Abhishek,Male,22,5,Scooter,26.2,0.979,3.61,DS21,False,False
R00338,Sachin,Male,22,8,Bicycle,19.0,0.925,4.1,DS30,False,False
R00339,Rohit,Male,34,1,Electric Scooter,24.5,0.942,3.96,DS16,False,False
R00340,Rohit,Male,42,9,Scooter,26.4,0.88,3.62,DS30,False,False
R00341,Pankaj,Male,32,10,Electric Scooter,30.7,0.987,3.83,DS20,False,False
R00342,Ajay,Male,36,8,Bicycle,12.6,0.874,4.25,DS25,False,False
R00343,Rahul,Male,37,0,Scooter,26.4,0.907,3.63,DS24,False,False
R00344,Rahul,Male,26,0,Scooter,28.0,0.919,3.79,DS20,False,False
R00345,Deepak,Male,21,8,Scooter,27.6,0.986,3.87,DS24,False,False
R00346,Sandeep,Female,22,8,Scooter,30.2,0.901,3.82,DS16,False,False
R00347,Rakesh,Male,45,6,Scooter,28.5,0.967,3.75,DS05,False,False
R00348,Manoj,Male,27,8,Bicycle,15.3,0.882,3.54,DS01,False,False
R00349,Deepak,Male,22,6,Scooter,27.0,0.887,3.82,DS11,False,False
R00350,Mohit,Male,42,9,Bicycle,16.5,0.931,3.42,DS21,False,False
R00351,Pankaj,Male,27,2,Scooter,23.8,0.89,3.91,DS24,False,False
R00352,Amit,Male,28,7,Bicycle,14.9,0.946,4.38,DS23,False,False
R00353,Yash,Female,40,6,Scooter,22.3,0.93,3.86,DS03,False,False
R00354,Amit,Male,31,6,Scooter,23.5,0.939,3.59,DS02,False,False
R00355,Rakesh,Male,36,10,Electric Scooter,24.5,0.895,3.96,DS15,False,False
R00356,Nitin,Male,22,5,Electric Scooter,31.0,0.925,3.84,DS18,False,False
R00357,Manoj,Male,21,6,Scooter,23.7,0.919,3.57,DS14,False,False
R00358,Arjun,Male,39,0,Scooter,22.5,0.925,4.86,DS06,False,False
R00359,Harish,Male,24,7,Bicycle,15.5,0.946,3.51,DS12,False,False
R00360,Amit,Male,31,9,Scooter,25.2,0.937,3.45,DS18,False,False
R00361,Mohit,Male,21,0,Scooter,19.3,0.916,4.24,DS05,False,False
R00362,Vikas,Male,19,5,Bicycle,17.6,0.99,4.62,DS08,False,False
R00363,Ajay,Male,20,10,Scooter,25.1,0.97,3.4,DS20,False,False
R00364,Abhishek,Male,37,7,Scooter,21.2,0.867,4.07,DS21,False,False
R00365,Rakesh,Male,26,6,Scooter,24.4,0.99,4.14,DS22,False,False
R00366,Pankaj,Male,26,1,Electric Scooter,30.4,0.86,4.75,DS26,False,False
R00367,Nitin,Male,28,8,Bicycle,17.3,0.917,3.83,DS23,False,False
R00368,Abhishek,Male,33,7,Scooter,24.6,0.986,3.16,DS04,False,False
R00369,Nitin,Female,22,5,Electric Scooter,28.1,0.953,4.17,DS19,False,False
R00370,Manoj,Male,45,6,Bicycle,16.8,0.977,4.31,DS27,False,False
R00371,Arjun,Male,42,0,Scooter,19.3,0.888,4.61,DS06,False,False
R00372,Vikas,Female,32,6,Electric Scooter,29.0,0.939,4.6,DS20,False,False
R00373,Aman,Male,30,1,Scooter,22.7,0.91,4.06,DS02,False,False
R00374,Ajay,Male,20,7,Electric Scooter,32.3,0.956,4.01,DS29,False,False
R00375,Rahul,Male,39,3,Bicycle,15.3,0.952,3.91,DS12,False,False
R00376,Nitin,Male,38,4,Scooter,23.7,0.877,3.86,DS30,False,False
R00377,Nitin,Male,44,8,Scooter,27.1,0.917,3.67,DS10,False,False
R00378,Amit,Male,30,5,Scooter,25.9,0.832,4.0,DS15,False,False
R00379,Manoj,Male,37,1,Scooter,23.0,0.94,3.78,DS09,False,False
R00380,Yash,Male,39,6,Scooter,28.2,0.922,3.53,DS16,False,False
R00381,Abhishek,Male,30,8,Scooter,29.5,0.99,3.8,DS08,False,False
R00382,Rakesh,Male,24,1,Scooter,24.9,0.864,3.69,DS14,False,False
R00383,Amit,Male,31,10,Electric Scooter,25.7,0.99,3.77,DS19,False,False
R00384,Rahul,Male,41,0,Bicycle,15.12,0.99,3.59,DS04,False,True
R00385,Amit,Male,28,5,Scooter,25.5,0.972,3.92,DS05,False,False
R00386,Rahul,Male,20,0,Scooter,19.3,0.896,3.27,DS28,False,False
R00387,Manoj,Male,31,3,Scooter,27.24,0.99,3.68,DS10,False,True
R00388,Abhishek,Male,19,1,Scooter,23.8,0.894,3.64,DS09,False,False
R00389,Rakesh,Male,36,7,Electric Scooter,30.2,0.99,4.3,DS13,False,False
R00390,Manoj,Male,43,4,Scooter,24.4,0.868,3.55,DS06,False,False
R00391,Rahul,Female,36,7,Scooter,24.1,0.903,3.02,DS03,False,False
R00392,Karan,Female,43,10,Scooter,18.07,0.7808,4.61,DS10,True,False
R00393,Deepak,Male,41,1,Scooter,31.7,0.881,4.31,DS25,False,False
R00394,Arjun,Female,32,3,Electric Scooter,33.4,0.862,4.3,DS03,False,False
R00395,Abhishek,Male,23,6,Bicycle,16.2,0.971,3.96,DS15,False,False
R00396,Manoj,Male,21,7,Bicycle,15.9,0.949,4.18,DS25,False,False
R00397,Sourabh,Male,24,8,Bicycle,16.7,0.897,4.31,DS16,False,False
R00398,Sachin,Male,37,5,Scooter,26.8,0.879,3.33,DS12,False,False
R00399,Amit,Male,37,7,Bicycle,14.1,0.927,4.72,DS04,False,False
R00400,Sandeep,Male,38,2,Electric Scooter,26.3,0.915,4.06,DS26,False,False
R00401,Yash,Male,39,7,Electric Scooter,20.02,0.7352000000000001,3.99,DS14,True,False
R00402,Mohit,Male,41,5,Electric Scooter,31.7,0.905,4.27,DS09,False,False
R00403,Mohit,Male,33,0,Electric Scooter,31.6,0.976,4.26,DS22,False,False
R00404,Sourabh,Male,21,6,Scooter,23.7,0.903,3.61,DS29,False,False
R00405,Harish,Male,21,4,Scooter,27.1,0.92,3.45,DS11,False,False
R00406,Harish,Male,19,4,Bicycle,12.2,0.913,4.26,DS17,False,False
R00407,Amit,Male,34,0,Electric Scooter,23.4,0.811,4.38,DS27,False,False
R00408,Vikas,Male,24,7,Bicycle,16.8,0.905,4.39,DS22,False,False
R00409,Rahul,Male,23,8,Electric Scooter,26.9,0.936,4.76,DS07,False,False
R00410,Pankaj,Male,42,7,Scooter,23.9,0.905,4.33,DS11,False,False
R00411,Sourabh,Male,20,10,Bicycle,20.5,0.963,4.35,DS24,False,False
R00412,Arjun,Male,30,8,Bicycle,16.1,0.99,3.76,DS11,False,False
R00413,Arjun,Male,35,1,Bicycle,10.9,0.924,4.71,DS20,False,False
R00414,Arjun,Male,19,9,Bicycle,15.5,0.971,4.8,DS11,False,False
R00415,Karan,Male,25,9,Electric Scooter,32.1,0.916,3.28,DS29,False,False
R00416,Rohit,Male,20,8,Scooter,29.3,0.905,4.24,DS19,False,False
R00417,Abhishek,Male,41,6,Scooter,23.5,0.99,4.13,DS02,False,False
R00418,Aman,Male,26,9,Electric Scooter,32.5,0.903,3.66,DS08,False,False
R00419,Deepak,Male,37,9,Scooter,25.0,0.923,4.1,DS17,False,False
R00420,Rohit,Female,23,3,Scooter,26.8,0.893,3.72,DS30,False,False
R00421,Sourabh,Male,20,9,Scooter,24.5,0.99,4.0,DS04,False,False
R00422,Yash,Male,23,10,Electric Scooter,32.5,0.916,3.4,DS22,False,False
R00423,Abhishek,Male,44,4,Scooter,25.4,0.963,3.91,DS11,False,False
R00424,Rakesh,Male,22,1,Scooter,23.0,0.898,4.67,DS08,False,False
R00425,Pankaj,Male,30,1,Scooter,19.5,0.889,4.62,DS21,False,False
R00426,Deepak,Male,45,7,Electric Scooter,27.0,0.914,3.94,DS13,False,False
R00427,Nitin,Male,31,3,Scooter,26.0,0.919,4.36,DS05,False,False
R00428,Sourabh,Male,22,5,Bicycle,17.1,0.863,4.76,DS23,False,False
R00429,Harish,Male,31,2,Electric Scooter,32.9,0.954,4.52,DS22,False,False
R00430,Ajay,Male,33,4,Electric Scooter,26.1,0.903,4.0,DS05,False,False
R00431,Manoj,Male,36,10,Scooter,17.745,0.7344,3.94,DS08,True,False
R00432,Harish,Male,37,6,Scooter,18.2,0.987,3.97,DS11,False,False
R00433,Nitin,Male,31,7,Scooter,29.8,0.94,4.44,DS02,False,False
R00434,Yash,Male,24,10,Scooter,23.0,0.99,4.2,DS14,False,False
R00435,Vikas,Male,32,5,Scooter,20.2,0.926,3.74,DS19,False,False
R00436,Nitin,Male,27,10,Scooter,25.4,0.934,4.53,DS18,False,False
R00437,Amit,Female,29,4,Scooter,26.1,0.924,4.43,DS21,False,False
R00438,Rohit,Female,35,7,Scooter,26.0,0.99,4.07,DS04,False,False
R00439,Deepak,Male,38,3,Scooter,24.9,0.919,4.11,DS26,False,False
R00440,Vikas,Male,37,5,Electric Scooter,27.5,0.957,4.15,DS23,False,False
R00441,Rohit,Male,24,7,Electric Scooter,27.4,0.99,3.86,DS15,False,False
R00442,Amit,Male,19,2,Scooter,29.7,0.839,3.75,DS27,False,False
R00443,Deepak,Male,45,4,Scooter,22.0,0.922,3.53,DS10,False,False
R00444,Harish,Female,32,6,Bicycle,9.3,0.949,3.89,DS04,False,False
R00445,Karan,Male,37,0,Electric Scooter,23.6,0.864,4.59,DS22,False,False
R00446,Rohit,Male,41,8,Electric Scooter,18.2,0.7784,3.61,DS03,True,False
R00447,Manoj,Female,22,5,Bicycle,16.9,0.909,3.73,DS25,False,False
R00448,Arjun,Male,21,10,Scooter,25.2,0.946,3.9,DS13,False,False
R00449,Amit,Male,20,0,Scooter,19.825,0.6648000000000001,2.96,DS23,True,False
R00450,Arjun,Male,34,10,Scooter,26.2,0.966,3.58,DS28,False,False
R00451,Aman,Male,20,8,Electric Scooter,32.6,0.933,4.0,DS13,False,False
R00452,Rohit,Male,20,9,Scooter,31.0,0.948,4.08,DS07,False,False
R00453,Sachin,Male,34,10,Electric Scooter,37.0,0.897,3.76,DS10,False,False
R00454,Sandeep,Male,36,2,Scooter,22.1,0.905,4.19,DS21,False,False
R00455,Aman,Female,31,10,Bicycle,13.9,0.988,4.0,DS30,False,False
R00456,Harish,Male,35,3,Electric Scooter,29.1,0.936,3.75,DS08,False,False
R00457,Arjun,Male,41,7,Electric Scooter,28.8,0.912,3.63,DS22,False,False
R00458,Abhishek,Male,38,4,Bicycle,11.8,0.88,3.98,DS15,False,False
R00459,Sachin,Male,42,4,Scooter,25.3,0.943,3.71,DS16,False,False
R00460,Rohit,Male,19,10,Bicycle,18.2,0.988,4.6,DS27,False,False
R00461,Deepak,Male,29,4,Bicycle,16.9,0.927,3.94,DS04,False,False
R00462,Sachin,Male,23,7,Scooter,23.7,0.918,4.36,DS14,False,False
R00463,Pankaj,Male,37,9,Scooter,25.0,0.952,3.96,DS14,False,False
R00464,Harish,Male,35,4,Bicycle,16.4,0.835,3.94,DS23,False,False
R00465,Mohit,Male,45,1,Scooter,17.3,0.868,3.5,DS29,False,False
R00466,Rahul,Male,42,4,Scooter,27.1,0.901,4.13,DS04,False,False
R00467,Sandeep,Male,43,0,Electric Scooter,29.8,0.884,4.15,DS07,False,False
R00468,Amit,Male,33,8,Scooter,23.9,0.89,3.62,DS20,False,False
R00469,Nitin,Male,35,3,Bicycle,14.1,0.883,4.2,DS26,False,False
R00470,Aman,Male,38,4,Scooter,29.0,0.914,4.16,DS03,False,False
R00471,Yash,Male,31,10,Scooter,27.6,0.938,3.91,DS19,False,False
R00472,Mohit,Male,41,9,Scooter,31.4,0.988,4.19,DS10,False,False
R00473,Sachin,Male,40,3,Scooter,28.4,0.871,3.6,DS02,False,False
R00474,Rakesh,Male,34,8,Scooter,25.8,0.897,3.97,DS01,False,False
R00475,Arjun,Male,41,8,Scooter,27.2,0.827,3.89,DS30,False,False
R00476,Abhishek,Male,33,2,Scooter,26.8,0.907,3.95,DS09,False,False
R00477,Vikas,Male,27,9,Scooter,22.4,0.99,3.93,DS13,False,False
R00478,Mohit,Male,40,9,Scooter,26.7,0.878,3.67,DS21,False,False
R00479,Aman,Male,44,7,Electric Scooter,26.5,0.943,5.0,DS07,False,False
R00480,Vikas,Male,28,0,Electric Scooter,32.7,0.918,3.75,DS11,False,False
R00481,Karan,Male,39,0,Electric Scooter,31.7,0.841,3.71,DS16,False,False
R00482,Mohit,Male,24,3,Scooter,22.0,0.925,3.54,DS16,False,False
R00483,Rahul,Male,20,4,Scooter,22.8,0.934,3.71,DS19,False,False
R00484,Rakesh,Male,22,5,Scooter,23.3,0.966,4.06,DS03,False,False
R00485,Arjun,Male,35,7,Electric Scooter,27.9,0.903,3.79,DS09,False,False
R00486,Mohit,Female,40,4,Bicycle,17.7,0.959,4.41,DS03,False,False
R00487,Vikas,Male,26,7,Scooter,26.5,0.909,3.32,DS18,False,False
R00488,Deepak,Male,37,3,Scooter,22.2,0.867,3.92,DS16,False,False
R00489,Sandeep,Male,19,1,Scooter,30.1,0.935,3.93,DS21,False,False
R00490,Manoj,Male,22,0,Scooter,28.1,0.901,5.0,DS20,False,False
R00491,Deepak,Male,37,4,Scooter,24.3,0.883,3.18,DS06,False,False
R00492,Abhishek,Female,19,5,Scooter,23.8,0.943,3.49,DS20,False,False
R00493,Harish,Male,34,7,Electric Scooter,31.1,0.921,4.17,DS26,False,False
R00494,Deepak,Male,30,0,Bicycle,15.4,0.815,4.0,DS11,False,False
R00495,Arjun,Male,20,8,Scooter,31.3,0.984,3.51,DS10,False,False
R00496,Amit,Male,23,2,Electric Scooter,32.0,0.939,3.98,DS30,False,False
R00497,Ajay,Male,22,0,Scooter,26.1,0.862,3.53,DS07,False,False
R00498,Rakesh,Male,27,3,Scooter,24.4,0.99,4.25,DS29,False,False
R00499,Vikas,Male,26,6,Scooter,24.2,0.942,4.46,DS28,False,False
R00500,Ajay,Male,44,4,Scooter,24.6,0.892,3.93,DS11,False,False
R00501,Yash,Male,34,3,Scooter,25.8,0.895,3.17,DS17,False,False
R00502,Harish,Male,31,7,Scooter,25.5,0.88,3.98,DS24,False,False
R00503,Vikas,Male,19,0,Scooter,19.6,0.832,3.95,DS27,False,False
R00504,Yash,Male,23,7,Scooter,27.3,0.919,4.59,DS28,False,False
R00505,Aman,Male,32,10,Scooter,30.1,0.901,3.74,DS01,False,False
R00506,Arjun,Male,32,0,Electric Scooter,30.5,0.89,3.51,DS19,False,False
R00507,Manoj,Male,44,0,Electric Scooter,28.0,0.927,4.44,DS16,False,False
R00508,Karan,Female,24,6,Scooter,25.9,0.848,4.36,DS02,False,False
R00509,Manoj,Male,27,6,Bicycle,12.8,0.977,4.17,DS04,False,False
R00510,Sandeep,Male,21,1,Bicycle,14.6,0.814,3.7,DS15,False,False
R00511,Deepak,Male,30,1,Scooter,28.4,0.864,4.18,DS21,False,False
R00512,Aman,Male,24,6,Scooter,26.7,0.936,3.76,DS03,False,False
R00513,Pankaj,Male,45,1,Scooter,24.3,0.85,3.7,DS02,False,False
R00514,Karan,Male,42,9,Electric Scooter,25.1,0.972,4.34,DS13,False,False
R00515,Aman,Male,32,4,Scooter,26.3,0.901,3.68,DS19,False,False
R00516,Ajay,Male,42,3,Electric Scooter,29.2,0.901,3.67,DS26,False,False
R00517,Harish,Male,20,8,Scooter,20.2,0.945,3.9,DS02,False,False
R00518,Rakesh,Male,29,9,Scooter,25.5,0.911,4.19,DS27,False,False
R00519,Sandeep,Male,39,7,Scooter,25.5,0.959,3.39,DS14,False,False
R00520,Sourabh,Male,22,1,Scooter,18.0,0.899,3.93,DS18,False,False
R00521,Ajay,Male,38,6,Scooter,28.5,0.905,3.9,DS12,False,False
R00522,Pankaj,Male,31,8,Scooter,14.235,0.7496,3.63,DS09,True,False
R00523,Aman,Male,41,8,Scooter,23.2,0.967,4.4,DS21,False,False
R00524,Harish,Male,32,3,Scooter,23.0,0.891,4.02,DS17,False,False
R00525,Rohit,Male,44,2,Bicycle,15.9,0.951,4.07,DS20,False,False
R00526,Ajay,Female,35,1,Electric Scooter,25.1,0.833,4.38,DS25,False,False
R00527,Ajay,Male,44,4,Scooter,24.8,0.932,4.19,DS12,False,False
R00528,Sachin,Male,37,10,Scooter,23.2,0.984,4.25,DS29,False,False
R00529,Rahul,Male,19,3,Scooter,24.3,0.921,3.9,DS14,False,False
R00530,Aman,Male,35,6,Bicycle,11.8,0.891,4.44,DS25,False,False
R00531,Rakesh,Male,20,10,Scooter,25.9,0.968,3.43,DS26,False,False
R00532,Karan,Male,40,10,Bicycle,16.9,0.984,3.82,DS11,False,False
R00533,Rohit,Male,38,2,Scooter,23.2,0.923,3.89,DS02,False,False
R00534,Sachin,Male,39,0,Scooter,18.5,0.945,4.51,DS28,False,False
R00535,Rahul,Male,43,8,Bicycle,17.4,0.962,4.32,DS12,False,False
R00536,Arjun,Male,39,9,Scooter,26.6,0.943,4.0,DS14,False,False
R00537,Arjun,Male,42,1,Scooter,24.7,0.883,4.55,DS30,False,False
R00538,Sourabh,Male,39,9,Bicycle,19.0,0.91,4.16,DS08,False,False
R00539,Harish,Male,30,3,Electric Scooter,33.2,0.97,3.51,DS24,False,False
R00540,Mohit,Male,27,3,Bicycle,13.8,0.865,4.47,DS27,False,False
R00541,Karan,Male,34,6,Scooter,24.7,0.975,3.81,DS17,False,False
R00542,Pankaj,Male,22,3,Electric Scooter,31.1,0.927,3.74,DS15,False,False
R00543,Rakesh,Male,36,3,Scooter,27.9,0.92,4.29,DS05,False,False
R00544,Yash,Male,29,4,Scooter,27.5,0.918,4.2,DS29,False,False
R00545,Amit,Male,33,9,Scooter,25.7,0.978,4.26,DS23,False,False
R00546,Rakesh,Male,21,3,Electric Scooter,32.8,0.921,3.95,DS11,False,False
R00547,Sourabh,Male,38,3,Bicycle,14.3,0.898,3.34,DS21,False,False
R00548,Harish,Male,40,8,Bicycle,16.8,0.953,3.65,DS11,False,False
R00549,Sandeep,Male,42,1,Electric Scooter,25.3,0.907,3.9,DS09,False,False
R00550,Sandeep,Male,23,4,Scooter,24.7,0.939,3.66,DS11,False,False
R00551,Vikas,Male,20,7,Electric Scooter,28.4,0.915,4.55,DS13,False,False
R00552,Amit,Male,23,9,Scooter,27.7,0.938,3.96,DS26,False,False
R00553,Rahul,Female,33,5,Scooter,25.8,0.976,4.34,DS10,False,False
R00554,Abhishek,Male,35,6,Electric Scooter,29.6,0.889,3.4,DS08,False,False
R00555,Sachin,Female,26,8,Scooter,22.0,0.914,3.54,DS13,False,False
R00556,Mohit,Male,27,0,Scooter,25.9,0.957,4.14,DS11,False,False
R00557,Sourabh,Male,23,7,Bicycle,15.3,0.905,3.88,DS30,False,False
R00558,Mohit,Male,31,9,Bicycle,19.4,0.965,4.99,DS17,False,False
R00559,Pankaj,Male,32,7,Scooter,17.290000000000003,0.792,3.68,DS30,True,False
R00560,Karan,Female,35,9,Scooter,25.8,0.968,3.84,DS24,False,False
R00561,Abhishek,Male,35,7,Scooter,32.6,0.99,4.42,DS11,False,False
R00562,Rohit,Female,44,0,Electric Scooter,34.9,0.923,3.89,DS14,False,False
R00563,Sandeep,Male,22,6,Scooter,26.7,0.99,3.29,DS22,False,False
R00564,Amit,Male,34,8,Scooter,25.0,0.972,4.55,DS22,False,False
R00565,Deepak,Male,33,4,Electric Scooter,28.6,0.882,3.77,DS24,False,False
R00566,Ajay,Male,41,4,Electric Scooter,32.5,0.944,3.69,DS23,False,False
R00567,Karan,Male,29,9,Electric Scooter,32.8,0.96,4.2,DS16,False,False
R00568,Sourabh,Male,45,4,Electric Scooter,31.2,0.908,4.11,DS28,False,False
R00569,Pankaj,Male,41,4,Bicycle,17.2,0.881,3.56,DS20,False,False
R00570,Rakesh,Male,33,8,Scooter,19.4,0.94,4.14,DS14,False,False
R00571,Deepak,Male,40,6,Scooter,26.7,0.91,3.9,DS10,False,False
R00572,Rakesh,Male,44,7,Electric Scooter,31.3,0.908,4.46,DS24,False,False
R00573,Sandeep,Male,28,0,Scooter,24.6,0.846,3.89,DS17,False,False
R00574,Karan,Male,27,2,Bicycle,12.0,0.967,4.05,DS06,False,False
R00575,Ajay,Male,21,6,Electric Scooter,27.2,0.93,3.57,DS03,False,False
R00576,Pankaj,Male,36,2,Scooter,26.4,0.865,3.92,DS18,False,False
R00577,Manoj,Male,29,3,Scooter,25.3,0.932,4.26,DS17,False,False
R00578,Sandeep,Male,28,7,Scooter,24.9,0.871,4.61,DS03,False,False
R00579,Rohit,Male,31,8,Electric Scooter,30.4,0.941,4.4,DS29,False,False
R00580,Nitin,Male,33,2,Scooter,24.2,0.867,4.07,DS24,False,False
R00581,Pankaj,Male,40,0,Electric Scooter,21.2,0.938,3.11,DS29,False,False
R00582,Arjun,Female,35,0,Scooter,27.2,0.935,3.87,DS01,False,False
R00583,Karan,Male,39,2,Scooter,20.0,0.859,3.62,DS02,False,False
R00584,Harish,Male,28,5,Electric Scooter,29.6,0.927,3.62,DS02,False,False
R00585,Karan,Male,35,2,Bicycle,17.2,0.956,4.07,DS05,False,False
R00586,Manoj,Male,35,10,Scooter,28.1,0.895,3.75,DS13,False,False
R00587,Sourabh,Male,32,8,Scooter,25.0,0.867,4.14,DS18,False,False
R00588,Vikas,Male,32,10,Scooter,24.9,0.99,4.65,DS06,False,False
R00589,Karan,Male,36,1,Electric Scooter,31.2,0.943,3.73,DS17,False,False
R00590,Sachin,Male,39,1,Scooter,24.6,0.891,4.47,DS07,False,False
R00591,Rahul,Female,21,4,Scooter,26.5,0.986,3.49,DS09,False,False
R00592,Rakesh,Male,40,4,Scooter,30.8,0.841,4.76,DS15,False,False
R00593,Pankaj,Male,21,2,Electric Scooter,23.1,0.933,3.38,DS25,False,False
R00594,Abhishek,Male,39,3,Electric Scooter,31.6,0.927,5.0,DS12,False,False
R00595,Harish,Male,40,6,Scooter,25.4,0.859,4.36,DS08,False,False
R00596,Karan,Female,39,9,Bicycle,16.2,0.903,3.84,DS19,False,False
R00597,Rohit,Male,44,10,Scooter,27.5,0.961,3.89,DS16,False,False
R00598,Sachin,Male,23,7,Scooter,25.6,0.915,3.61,DS16,False,False
R00599,Manoj,Male,42,10,Electric Scooter,32.7,0.955,3.14,DS10,False,False
R00600,Abhishek,Male,41,6,Scooter,25.3,0.912,3.62,DS07,False,False
R00601,Harish,Female,34,4,Scooter,23.0,0.941,4.35,DS12,False,False
R00602,Arjun,Male,38,9,Bicycle,15.0,0.904,3.27,DS26,False,False
R00603,Sachin,Male,41,5,Scooter,28.5,0.867,4.13,DS06,False,False
R00604,Pankaj,Male,32,7,Bicycle,14.9,0.937,3.67,DS14,False,False
R00605,Manoj,Male,30,4,Bicycle,15.0,0.913,3.57,DS19,False,False
R00606,Rohit,Male,22,6,Scooter,20.1,0.903,3.86,DS21,False,False
R00607,Harish,Male,21,3,Bicycle,19.439999999999998,0.99,4.22,DS08,False,True
R00608,Arjun,Female,29,10,Electric Scooter,32.16,0.99,4.43,DS15,False,True
R00609,Manoj,Male,33,5,Electric Scooter,30.5,0.904,4.52,DS05,False,False
R00610,Pankaj,Male,28,3,Electric Scooter,31.5,0.866,3.81,DS03,False,False
R00611,Rahul,Male,35,0,Electric Scooter,22.8,0.878,4.14,DS29,False,False
R00612,Nitin,Male,26,5,Bicycle,13.1,0.981,3.57,DS13,False,False
R00613,Abhishek,Male,21,6,Electric Scooter,32.0,0.863,4.6,DS19,False,False
R00614,Karan,Female,32,1,Scooter,27.9,0.931,3.4,DS24,False,False
R00615,Yash,Male,27,6,Bicycle,10.4,0.909,4.64,DS24,False,False
R00616,Deepak,Male,27,8,Bicycle,17.5,0.941,4.39,DS16,False,False
R00617,Vikas,Male,19,7,Electric Scooter,21.97,0.7080000000000001,4.18,DS04,True,False
R00618,Ajay,Female,31,9,Scooter,28.8,0.953,4.05,DS30,False,False
R00619,Abhishek,Male,37,0,Scooter,29.3,0.911,3.67,DS21,False,False
R00620,Sandeep,Male,44,4,Electric Scooter,30.0,0.859,4.11,DS10,False,False
R00621,Rahul,Female,38,9,Electric Scooter,30.6,0.934,4.16,DS30,False,False
R00622,Ajay,Male,43,10,Electric Scooter,28.6,0.99,3.43,DS15,False,False
R00623,Sourabh,Male,23,7,Bicycle,14.4,0.953,3.73,DS23,False,False
R00624,Karan,Male,28,2,Scooter,22.2,0.923,4.47,DS13,False,False
R00625,Sourabh,Male,40,4,Bicycle,15.3,0.896,2.98,DS27,False,False
R00626,Sachin,Male,26,3,Scooter,30.5,0.863,3.73,DS01,False,False
R00627,Rakesh,Male,33,2,Scooter,27.9,0.826,3.9,DS26,False,False
R00628,Rohit,Male,24,6,Electric Scooter,28.3,0.88,3.73,DS26,False,False
R00629,Rakesh,Male,35,0,Scooter,21.5,0.914,3.45,DS22,False,False
R00630,Pankaj,Male,28,1,Scooter,22.0,0.88,4.2,DS26,False,False
R00631,Rahul,Male,31,8,Scooter,28.1,0.899,3.93,DS23,False,False
R00632,Ajay,Male,24,1,Bicycle,10.1,0.832,4.54,DS03,False,False
R00633,Karan,Male,37,5,Scooter,19.6,0.927,3.98,DS22,False,False
R00634,Manoj,Male,30,10,Scooter,33.96,0.99,4.44,DS25,False,True
R00635,Rohit,Male,24,0,Electric Scooter,31.0,0.9,4.08,DS02,False,False
R00636,Nitin,Male,44,5,Scooter,23.6,0.928,3.99,DS05,False,False
R00637,Manoj,Male,34,3,Electric Scooter,31.7,0.899,4.3,DS04,False,False
R00638,Arjun,Female,25,7,Bicycle,12.5,0.947,3.87,DS30,False,False
R00639,Sachin,Female,44,8,Scooter,29.7,0.99,4.43,DS06,False,False
R00640,Rohit,Male,25,10,Scooter,20.215,0.7496,3.64,DS16,True,False
R00641,Sourabh,Male,21,3,Scooter,28.6,0.956,4.12,DS26,False,False
R00642,Rohit,Male,23,5,Scooter,26.2,0.957,3.71,DS08,False,False
R00643,Karan,Male,21,5,Scooter,28.7,0.947,3.91,DS20,False,False
R00644,Mohit,Male,24,9,Electric Scooter,23.2,0.897,3.76,DS07,False,False
R00645,Amit,Male,33,4,Electric Scooter,31.7,0.915,4.74,DS15,False,False
R00646,Deepak,Male,24,5,Scooter,26.3,0.936,4.03,DS20,False,False
R00647,Arjun,Male,28,2,Electric Scooter,26.8,0.883,3.85,DS10,False,False
R00648,Sandeep,Male,25,7,Electric Scooter,28.4,0.92,3.85,DS02,False,False
R00649,Mohit,Male,28,10,Scooter,19.8,0.93,4.1,DS21,False,False
R00650,Deepak,Male,30,5,Scooter,24.7,0.928,4.33,DS05,False,False
R00651,Rahul,Male,32,10,Bicycle,15.6,0.99,4.0,DS17,False,False
R00652,Ajay,Female,37,9,Scooter,29.3,0.852,4.56,DS15,False,False
R00653,Nitin,Male,35,5,Scooter,35.3,0.885,4.16,DS28,False,False
R00654,Rakesh,Male,33,0,Scooter,22.0,0.895,4.11,DS27,False,False
R00655,Nitin,Male,43,9,Electric Scooter,29.0,0.972,3.43,DS01,False,False
R00656,Arjun,Male,33,4,Bicycle,15.7,0.88,4.88,DS03,False,False
R00657,Yash,Male,44,10,Bicycle,17.4,0.933,3.81,DS13,False,False
R00658,Sachin,Female,34,6,Scooter,22.4,0.923,3.73,DS22,False,False
